p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.13874839245773,0.269,0.086,0,cluster_9,CALHM6
0,2.12530552945708,0.307,0.076,0,cluster_9,LY86
0,2.10035271972072,0.334,0.112,0,cluster_9,NCF1
0,2.07251123183208,0.315,0.097,0,cluster_9,NCF1C
0,1.98372022715811,0.386,0.156,0,cluster_9,SNX2
0,1.94634763723874,0.302,0.107,0,cluster_9,NCF1B
0,1.8088376870959,0.503,0.238,0,cluster_9,EZR
0,1.80107982175265,0.365,0.171,0,cluster_9,SMIM14
0,1.79341787929913,0.294,0.127,0,cluster_9,SYNGR2
0,1.79178964575071,0.258,0.1,0,cluster_9,PRDM2
0,1.59738064510413,0.279,0.104,0,cluster_9,LYN
0,1.57455444908582,0.379,0.056,0,cluster_9,IGLC3
0,1.57334813012708,0.31,0.13,0,cluster_9,PRKCB
0,1.49709317111441,0.322,0.162,0,cluster_9,DRAM2
0,1.48333413635464,0.455,0.244,0,cluster_9,HERPUD1
0,1.45527288937707,0.492,0.094,0,cluster_9,IGLC2
0,1.38815838682709,0.565,0.338,0,cluster_9,REL
0,1.25214841280579,0.676,0.155,0,cluster_9,IGKC
0,1.24958515581625,0.926,0.741,0,cluster_9,LAPTM5
0,1.2328444176935,0.848,0.649,0,cluster_9,TSC22D3
0,1.20684294046838,0.343,0.214,0,cluster_9,BTK
0,1.17126684530017,0.327,0.202,0,cluster_9,SP110
0,1.16686450089354,0.493,0.328,0,cluster_9,CYB561A3
0,1.1663734792501,0.326,0.201,0,cluster_9,SP100
0,1.14805936008411,0.903,0.708,0,cluster_9,CD52
0,1.14698401447601,0.361,0.239,0,cluster_9,POLD4
0,1.14409647325846,0.289,0.18,0,cluster_9,IDI1
0,1.09726044804449,0.307,0.191,0,cluster_9,MPV17L
0,1.07820194824307,0.651,0.369,0,cluster_9,PTPRCAP
0,1.06866446919781,0.477,0.3,0,cluster_9,ISG20
2.85865611186534e-290,1.10551250285831,0.305,0.201,5.86167435737987e-286,cluster_9,NBPF14
0,1.05031104860416,0.323,0.026,0,cluster_9,JCHAIN
9.2884499500739e-294,1.03916613590963,0.279,0.177,1.90459666226265e-293,cluster_9,CHCHD10
0,1.01719615345332,0.824,0.55,0,cluster_9,LTB
0,1.01539919503902,0.397,0.273,0,cluster_9,DSG3
0,1.00502264647234,0.543,0.354,0,cluster_9,SNX3
2.75195990438611e-293,1.0234632000931,0.362,0.254,5.64289378394372e-293,cluster_9,NBPF10
0,0.989460884888035,0.765,0.582,0,cluster_9,CXCR4
3.57703527589062e-293,0.97322130227931,0.29,0.183,7.33471083321373e-293,cluster_9,RCSD1
0,0.928359612058147,0.609,0.45,0,cluster_9,FOXP1
0,0.920860244341773,0.534,0.39,0,cluster_9,SMCHD1
0,0.862779227394562,0.676,0.532,0,cluster_9,MAB21L3
2.497178897548e-295,0.856329001066648,0.417,0.312,5.12046532942217e-293,cluster_9,CD82
0,0.845688865608886,0.307,0.042,0,cluster_9,IGLL5
0,0.71350189566146,0.704,0.587,0,cluster_9,GASK1A
0,0.69843784733522,0.573,0.471,0,cluster_9,ORC4
0,0.682644964905178,0.633,0.532,0,cluster_9,LIMD2
0,0.681107428660142,0.772,0.661,0,cluster_9,NABP1
3.05646477414812e-293,0.657553969187146,0.42,0.298,6.26728101939072e-293,cluster_9,EVI2B
0,0.630605831876174,0.845,0.742,0,cluster_9,CHST12
1.58401504044371e-266,0.652412257084499,0.54,0.439,3.2480228404298396e-262,cluster_9,CD69
0,0.485302117728288,0.685,0.508,0,cluster_9,DUSP1
0,4.66996795683823,0.377,0.025,0,cluster_5,GZMK
0,4.23967500700576,0.252,0.024,0,cluster_5,TRGC2
0,3.84601008442812,0.42,0.036,0,cluster_5,GZMH
0,3.30582530393938,0.341,0.037,0,cluster_5,CCL4
0,3.2927172831662,0.481,0.098,0,cluster_5,LYAR
0,3.21250392033516,0.446,0.091,0,cluster_5,CMC1
0,3.12837670403321,0.668,0.075,0,cluster_5,CST7
0,3.10442773080629,0.933,0.499,0,cluster_5,CCL5
0,2.95761232054895,0.583,0.162,0,cluster_5,DUSP2
0,2.91718826397551,0.579,0.1,0,cluster_5,GZMA
0,2.81016860962024,0.344,0.078,0,cluster_5,CD8A
0,2.64495679994697,0.473,0.141,0,cluster_5,PIK3R1
0,2.59563879757365,0.784,0.127,0,cluster_5,NKG7
0,2.53429777853947,0.3,0.143,0,cluster_5,RGS1
0,2.41137840309146,0.302,0.056,0,cluster_5,FGFBP2
0,2.18411158414402,0.368,0.119,0,cluster_5,C12orf75
0,2.12465677181797,0.396,0.076,0,cluster_5,GNLY
0,2.07776290141031,0.732,0.371,0,cluster_5,IL32
0,2.05143555697279,0.313,0.095,0,cluster_5,CD8B
0,2.0415964989999,0.325,0.099,0,cluster_5,KLRK1
0,1.99932213250742,0.571,0.171,0,cluster_5,CTSW
0,1.96656470365783,0.306,0.07,0,cluster_5,HOPX
0,1.95514475371633,0.319,0.121,0,cluster_5,RORA
0,1.88699680478503,0.506,0.202,0,cluster_5,GZMM
0,1.85210019812839,0.349,0.13,0,cluster_5,KLRD1
0,1.84949562447981,0.266,0.11,0,cluster_5,FYN
0,1.80916244494739,0.317,0.109,0,cluster_5,MYO1F
0,1.79561442295079,0.326,0.108,0,cluster_5,KLRB1
0,1.7886063335308,0.767,0.41,0,cluster_5,HCST
0,1.63151259932802,0.585,0.309,0,cluster_5,CD99
0,1.5950027351623,0.57,0.35,0,cluster_5,PPP2R5C
0,1.55910152861472,0.725,0.406,0,cluster_5,CD3D
0,1.50496491033716,0.272,0.14,0,cluster_5,RNF125
0,1.50000395002068,0.535,0.412,0,cluster_5,HLA-A
0,1.49366518193188,0.275,0.144,0,cluster_5,SPOCK2
